Table S1. List of candidate imprinted genes identified in this study for Arabidopsis. Genes are sorted with decreasing probability of being imprinted in Gehring, Hsieh, and Pignatta datasets. Wolff is listed as additional information.																												
	Gehring						Hsieh						Pignatta						Combined (Gehring, Hsieh, Pignatta)				Wolff					
AT1G23200	9.35	2.83E-195	3.21E-191	MEG	98.87	1	7.61	5.63E-129	1.10E-125	MEG	98.30	4	7.17	4.46E-23	1.08E-20	MEG	98.09	59	0	21.3	AT1G23200.1	Plant invertase/pectin methylesterase inhibitor superfamily	NA	NA	NA	NA	NA	6913
AT4G00220	6.56	1.40E-94	1.32E-91	MEG	97.73	12	5.32	1.36E-61	7.55E-59	MEG	96.59	14	6.27	5.95E-24	1.69E-21	MEG	97.52	50	1.20E-174	25.3	AT4G00220.1	Lateral organ boundaries (LOB) domain family protein	NA	NA	NA	NA	NA	6913
AT2G28650	5.09	1.33E-60	6.02E-58	MEG	96.28	25	6.60	2.43E-80	3.15E-77	MEG	97.76	6	6.72	7.89E-25	2.39E-22	MEG	97.83	47	2.29E-160	26.0	AT2G28650.1	exocyst subunit exo70 family protein H8	6.24	0.000334579	0.00102912	MEG	97.50	4495
AT1G62480	8.67	6.93E-79	4.91E-76	MEG	98.69	16	3.88	2.12E-29	4.24E-27	MEG	93.77	39	7.21	1.14E-34	6.75E-32	MEG	98.11	23.5	1.12E-137	26.2	AT1G62480.1	Vacuolar calcium-binding protein-related	5.28	7.54E-154	2.48E-151	MEG	96.54	42
AT5G42800	8.49	1.24E-73	7.81E-71	MEG	98.63	18	6.64	8.71E-48	2.95E-45	MEG	97.79	23	8.07	7.12E-27	2.47E-24	MEG	98.49	41	5.54E-143	27.3	AT5G42800.1	dihydroflavonol 4-reductase	6.49	1.52E-140	4.12E-138	MEG	97.68	51
AT5G26120	4.25	1.34E-42	3.05E-40	MEG	94.75	50	4.54	9.51E-29	1.85E-26	MEG	95.37	40	8.42	2.52E-47	1.19E-43	MEG	98.61	3	1.48E-113	31.0	AT5G26120.1	alpha-L-arabinofuranosidase 2	7.82	2.30E-10	1.61E-09	MEG	98.39	1973
AT2G47240	6.45	6.38E-68	3.44E-65	MEG	97.66	21	2.80	7.54E-18	8.16E-16	MEG	88.71	72	8.05	1.11E-39	1.75E-36	MEG	98.48	9	2.74E-120	34.0	NA	NA	5.62	4.25E-33	1.09E-31	MEG	96.93	541
AT4G12960	7.86	1.21E-115	2.29E-112	MEG	98.41	6	4.24	1.09E-15	1.00E-13	MEG	94.73	85	7.15	3.74E-38	4.44E-35	MEG	98.08	12	4.67E-164	34.3	AT4G12960.1	Gamma interferon responsive lysosomal thiol (GILT) reductase family protein	7.43	9.36E-234	1.18E-230	MEG	98.22	11
AT1G79840	7.15	1.86E-37	3.64E-35	MEG	98.08	58	4.64	6.40E-65	4.16E-62	MEG	95.56	12	7.27	5.02E-28	1.98E-25	MEG	98.14	36	3.33E-125	35.3	AT1G79840.1	HD-ZIP IV family of homeobox-leucine zipper protein with lipid-binding START domain	6.85	8.44E-26	1.62E-24	MEG	97.92	719
AT4G20860	10.26	8.69E-77	5.80E-74	MEG	99.06	17	6.58	1.22E-17	1.29E-15	MEG	97.74	74	8.32	1.09E-32	5.37E-30	MEG	98.57	29	6.14E-122	40.0	AT4G20860.1	FAD-binding Berberine family protein	6.78	1.27E-05	5.07E-05	MEG	97.87	3465
AT1G73602	5.07	9.53E-47	2.46E-44	MEG	96.25	44	6.09	1.62E-40	4.35E-38	MEG	97.37	29	5.02	8.86E-22	2.03E-19	MEG	96.18	62	5.30E-104	45.0	AT1G73602.1	conserved peptide upstream open reading frame 32	6.75	5.09E-42	1.75E-40	MEG	97.85	403
AT2G17710	7.75	4.17E-103	5.91E-100	MEG	98.36	8	6.47	4.44E-37	1.08E-34	MEG	97.67	32	6.52	2.74E-16	4.10E-14	MEG	97.70	95	4.07E-151	45.0	AT2G17710.1		6.83	6.14E-244	1.06E-240	MEG	97.90	8
AT4G09820	8.75	9.76E-43	2.31E-40	MEG	98.71	48	7.74	6.72E-60	3.49E-57	MEG	98.36	15	7.57	9.81E-20	1.91E-17	MEG	98.29	73.5	3.15E-117	45.5	AT4G09820.1	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	5.36	1.49E-69	1.03E-67	MEG	96.64	201
AT3G44720	7.56	4.03E-56	1.47E-53	MEG	98.28	31	2.20	2.01E-15	1.82E-13	MEG	82.88	86	7.27	5.39E-35	3.49E-32	MEG	98.14	22	1.62E-101	46.3	AT3G44720.1	arogenate dehydratase 4	7.95	1.34E-52	6.22E-51	MEG	98.44	298
AT5G47330	8.41	1.59E-31	2.73E-29	MEG	98.61	66	6.88	1.63E-44	4.89E-42	MEG	97.93	26	6.78	1.17E-24	3.48E-22	MEG	97.87	48	1.01E-95	46.7	AT5G47330.1	alpha/beta-Hydrolases superfamily protein	NA	NA	NA	NA	NA	6913
AT5G41830	8.19	1.33E-28	1.98E-26	MEG	98.53	76	5.64	7.93E-31	1.63E-28	MEG	96.96	38	9.62	1.21E-31	5.72E-29	MEG	98.93	30	3.43E-86	48.0	AT5G41830.1	RNI-like superfamily protein	NA	NA	NA	NA	NA	6913
AT2G25540	5.78	2.03E-44	4.89E-42	MEG	97.09	46.5	4.42	1.29E-55	5.61E-53	MEG	95.14	18	4.19	1.79E-18	3.11E-16	MEG	94.62	82	2.16E-113	48.8	AT2G25540.1	cellulose synthase 10	7.84	5.93E-132	1.41E-129	MEG	98.40	58
AT2G23580	7.17	6.19E-60	2.51E-57	MEG	98.09	28	5.35	4.25E-71	3.01E-68	MEG	96.63	11	7.78	2.37E-15	3.12E-13	MEG	98.37	108	4.37E-141	49.0	AT2G23580.1	methyl esterase 4	NA	NA	NA	NA	NA	6913
AT4G22880	7.26	1.90E-41	4.23E-39	MEG	98.14	51	6.52	2.03E-31	4.39E-29	MEG	97.70	36	7.59	7.02E-21	1.56E-18	MEG	98.29	64	7.74E-89	50.3	AT4G22880.1	leucoanthocyanidin dioxygenase	6.99	3.70E-278	1.02E-274	MEG	97.99	5
AT5G51950	8.60	4.96E-35	8.94E-33	MEG	98.67	63	5.62	4.88E-19	5.59E-17	MEG	96.93	68	8.13	1.12E-34	6.75E-32	MEG	98.51	23.5	6.93E-84	51.5	AT5G51950.1	Glucose-methanol-choline (GMC) oxidoreductase family protein	7.28	4.11E-190	2.18E-187	MEG	98.15	26
AT4G37310	7.89	2.98E-23	3.64E-21	MEG	98.42	93	7.37	9.01E-45	2.81E-42	MEG	98.19	25	7.31	2.54E-25	7.85E-23	MEG	98.17	46	1.93E-88	54.7	AT4G37310.1	cytochrome P450, family 81, subfamily H, polypeptide 1	9.31	1.09E-24	2.01E-23	MEG	98.86	749
AT3G27960	7.68	3.45E-26	4.60E-24	MEG	98.33	85	5.26	1.66E-52	6.80E-50	MEG	96.51	19	5.52	4.57E-20	9.16E-18	MEG	96.83	71	8.30E-94	58.3	NA	NA	3.69	8.96E-10	5.91E-09	MEG	93.15	2097
AT1G62070	10.65	1.74E-166	6.59E-163	MEG	99.13	3	7.24	1.70E-176	1.33E-172	MEG	98.13	1	7.60	1.06E-09	8.62E-08	MEG	98.30	175	0	59.7	AT1G62070.1		NA	NA	NA	NA	NA	6913
AT2G10260	7.82	8.24E-27	1.14E-24	MEG	98.39	82	5.26	1.11E-19	1.37E-17	MEG	96.51	63	11.10	1.36E-30	5.68E-28	MEG	99.19	34	2.39E-72	59.7	AT2G10260.1		NA	NA	NA	NA	NA	6913
AT1G24540	7.97	7.73E-29	1.19E-26	MEG	98.45	74	7.16	2.31E-24	3.91E-22	MEG	98.09	46	9.41	4.12E-20	8.37E-18	MEG	98.88	70	1.28E-68	63.3	AT1G24540.1	cytochrome P450, family 86, subfamily C, polypeptide 1	8.62	2.32E-97	3.15E-95	MEG	98.67	102
AT2G17690	5.86	2.44E-49	7.10E-47	MEG	97.17	39	4.69	1.09E-23	1.78E-21	MEG	95.65	48	5.43	2.34E-15	3.11E-13	MEG	96.72	107	1.59E-83	64.7	AT2G17690.1	F-box family protein with a domain of unknown function (DUF295)	2.98	1.23E-05	4.92E-05	MEG	89.90	3453
AT5G23210	7.73	1.34E-26	1.83E-24	MEG	98.36	83	5.36	5.53E-18	6.07E-16	MEG	96.64	71	7.70	3.10E-27	1.10E-24	MEG	98.34	40	3.82E-67	64.7	AT5G23210.1	serine carboxypeptidase-like 34	NA	NA	NA	NA	NA	6913
AT5G63800	4.24	1.59E-27	2.31E-25	MEG	94.72	78	7.04	2.83E-71	2.20E-68	MEG	98.02	10	5.93	2.31E-15	3.11E-13	MEG	97.23	106	4.43E-109	64.7	AT5G63800.1	Glycosyl hydrolase family 35 protein	-3.08	2.58E-76	2.05E-74	PEG	90.44	174
AT4G00360	6.55	4.50E-58	1.70E-55	MEG	97.72	30	5.43	7.48E-17	7.38E-15	MEG	96.72	79	6.27	1.06E-17	1.71E-15	MEG	97.52	88	9.96E-88	65.7	AT4G00360.1	cytochrome P450, family 86, subfamily A, polypeptide 2	6.06	1.46E-51	6.64E-50	MEG	97.35	305
AT5G13930	7.41	7.42E-50	2.21E-47	MEG	98.21	38	5.30	3.57E-08	1.93E-06	MEG	96.56	144	8.93	1.04E-35	8.21E-33	MEG	98.76	18	7.85E-89	66.7	AT5G13930.1	Chalcone and stilbene synthase family protein	7.53	6.28E-81	5.68E-79	MEG	98.27	153
AT3G16370	6.75	2.36E-39	5.04E-37	MEG	97.85	53	3.93	5.34E-12	3.85E-10	MEG	93.91	108	8.27	4.65E-26	1.51E-23	MEG	98.56	44	1.14E-72	68.3	NA	NA	6.34	5.95E-192	3.29E-189	MEG	97.58	25
AT1G24010	7.21	5.26E-18	4.78E-16	MEG	98.11	125	8.00	1.32E-40	3.68E-38	MEG	98.46	28	8.24	1.27E-23	3.29E-21	MEG	98.55	55	1.94E-77	69.3	AT1G24010.1	Polyketide cyclase/dehydrase and lipid transport superfamily protein	11.23	7.20E-81	6.46E-79	MEG	99.21	154
AT5G17220	7.45	9.27E-49	2.63E-46	MEG	98.23	40	4.88	2.18E-12	1.62E-10	MEG	95.98	105	8.07	8.07E-21	1.77E-18	MEG	98.49	65	3.56E-77	70.0	AT5G17220.1	glutathione S-transferase phi 12	7.15	7.07E-123	1.38E-120	MEG	98.08	71
AT1G11580	7.21	3.47E-22	4.02E-20	MEG	98.11	98	5.89	2.01E-20	2.53E-18	MEG	97.20	62	7.67	8.06E-24	2.20E-21	MEG	98.33	52	8.02E-62	70.7	AT1G11580.1	methylesterase PCR A	7.15	5.66E-44	2.05E-42	MEG	98.08	382
AT3G14205	-2.94	9.75E-40	2.13E-37	PEG	89.62	52	-2.18	1.32E-28	2.51E-26	PEG	82.57	41	-2.55	9.55E-13	1.04E-10	PEG	86.71	131	1	74.7	NA	NA	0.83	0.361827543	0.44384949	MEG	40.68	11270.5
AT1G49450	8.03	2.53E-25	3.26E-23	MEG	98.47	88	6.27	2.86E-59	1.39E-56	MEG	97.52	16	5.89	3.42E-13	3.96E-11	MEG	97.20	123	7.70E-93	75.7	AT1G49450.1	Transducin/WD40 repeat-like superfamily protein	7.85	2.39E-10	1.67E-09	MEG	98.40	1976
AT4G15400	7.13	7.15E-15	5.07E-13	MEG	98.07	160	7.94	1.18E-37	2.97E-35	MEG	98.44	31	7.89	1.02E-27	3.81E-25	MEG	98.42	38	1.80E-75	76.3	AT4G15400.1	HXXXD-type acyl-transferase family protein	7.55	1.30E-08	7.69E-08	MEG	98.28	2336
AT2G42860	7.44	5.99E-23	7.08E-21	MEG	98.23	96	6.75	5.39E-17	5.45E-15	MEG	97.85	77	8.12	3.52E-23	8.78E-21	MEG	98.51	57	1.46E-58	76.7	NA	NA	6.38	2.46E-93	2.84E-91	MEG	97.60	120
AT4G31060	4.57	1.42E-30	2.34E-28	MEG	95.44	69	4.12	2.08E-24	3.60E-22	MEG	94.43	45	5.03	4.74E-14	5.81E-12	MEG	96.20	116	2.16E-64	76.7	AT4G31060.1	Integrase-type DNA-binding superfamily protein	-0.87	0.439365967	0.521296993	PEG	42.82	11652.5
AT5G20700	3.62	1.70E-25	2.22E-23	MEG	92.90	87	4.01	1.40E-21	2.02E-19	MEG	94.13	54	4.33	3.38E-17	5.35E-15	MEG	94.94	90	1.08E-59	77.0	AT5G20700.1	Protein of unknown function (DUF581)	6.88	5.53E-241	7.65E-238	MEG	97.93	10
AT1G34580	4.85	1.07E-20	1.15E-18	MEG	95.92	106	5.65	1.33E-21	1.96E-19	MEG	96.97	53	7.19	9.94E-20	1.91E-17	MEG	98.10	73.5	1.76E-57	77.5	AT1G34580.1	Major facilitator superfamily protein	4.07	5.84E-26	1.13E-24	MEG	94.30	714
AT2G19572	3.53	7.23E-19	7.01E-17	MEG	92.58	117	3.07	1.42E-33	3.26E-31	MEG	90.41	34	3.55	2.13E-16	3.29E-14	MEG	92.64	92	3.36E-64	81.0	AT2G19572.1		3.64	2.01E-19	2.74E-18	MEG	92.99	1015
AT1G20500	3.68	1.07E-42	2.49E-40	MEG	93.12	49	3.62	2.58E-35	6.09E-33	MEG	92.91	33	3.90	2.18E-10	1.92E-08	MEG	93.84	162	1.54E-83	81.3	AT1G20500.1	AMP-dependent synthetase and ligase family protein	0.67	0.194520394	0.270404079	MEG	31.25	9946
AT3G50990	6.18	2.26E-38	4.50E-36	MEG	97.45	57	5.65	7.03E-09	4.00E-07	MEG	96.96	136.5	8.57	6.13E-24	1.71E-21	MEG	98.66	51	1.60E-66	81.5	AT3G50990.1	Peroxidase superfamily protein	NA	NA	NA	NA	NA	6913
AT1G64060	7.37	1.26E-17	1.11E-15	MEG	98.19	129	7.57	1.10E-27	1.99E-25	MEG	98.29	43	8.39	1.14E-18	2.00E-16	MEG	98.60	81	2.08E-59	84.3	AT1G64060.1	respiratory burst oxidase protein F	4.50	7.20E-37	2.16E-35	MEG	95.29	460
AT4G00540	6.51	2.51E-32	4.38E-30	MEG	97.70	65	5.99	5.41E-11	3.70E-09	MEG	97.29	114	6.19	8.23E-19	1.48E-16	MEG	97.45	79	1.39E-57	86.0	AT4G00540.1	myb domain protein 3r2	NA	NA	NA	NA	NA	6913
AT1G07720	7.25	2.33E-18	2.19E-16	MEG	98.13	121	5.58	1.45E-20	1.86E-18	MEG	96.89	61	7.83	3.98E-19	7.27E-17	MEG	98.39	78	1.46E-53	86.7	AT1G07720.1	3-ketoacyl-CoA synthase 3	7.81	8.90E-86	9.05E-84	MEG	98.39	136
AT4G15390	5.83	2.92E-70	1.66E-67	MEG	97.15	20	4.15	2.75E-21	3.76E-19	MEG	94.51	57	4.31	3.35E-09	2.52E-07	MEG	94.88	189	8.91E-96	88.7	AT4G15390.1	HXXXD-type acyl-transferase family protein	NA	NA	NA	NA	NA	6913
AT5G39220	8.03	5.85E-29	9.09E-27	MEG	98.47	73	3.69	7.24E-10	4.63E-08	MEG	93.16	122	8.69	7.05E-18	1.15E-15	MEG	98.69	87	3.09E-52	94.0	AT5G39220.1	alpha/beta-Hydrolases superfamily protein	7.10	1.93E-55	9.59E-54	MEG	98.05	278
AT5G05270	4.98	7.06E-30	1.13E-27	MEG	96.12	71	2.85	6.53E-13	5.19E-11	MEG	89.04	98	7.12	2.35E-14	2.90E-12	MEG	98.06	115	1.14E-52	94.7	AT5G05270.1	Chalcone-flavanone isomerase family protein	NA	NA	NA	NA	NA	6913
AT3G23820	7.30	2.74E-50	8.40E-48	MEG	98.16	37	3.83	2.89E-07	1.43E-05	MEG	93.61	157	5.42	2.33E-16	3.56E-14	MEG	96.70	93	3.26E-69	95.7	NA	NA	4.00	1.27E-16	1.47E-15	MEG	94.13	1192
AT5G53870	3.47	1.96E-16	1.63E-14	MEG	92.34	136	2.68	1.14E-20	1.48E-18	MEG	87.78	60	5.74	4.14E-16	6.07E-14	MEG	97.06	97	8.39E-49	97.7	AT5G53870.1	early nodulin-like protein 1	-1.13	1.90E-15	2.03E-14	PEG	56.12	1291
AT1G68530	7.58	3.77E-20	3.85E-18	MEG	98.29	111	1.36	1.70E-06	7.46E-05	MEG	64.75	177.5	8.20	2.45E-37	2.33E-34	MEG	98.53	15	2.08E-59	101.2	AT1G68530.1	3-ketoacyl-CoA synthase 6	3.27	4.50E-16	5.04E-15	MEG	91.45	1234
AT5G06530	6.89	1.05E-13	6.90E-12	MEG	97.94	173	6.74	2.67E-18	2.97E-16	MEG	97.85	70	10.20	8.25E-21	1.78E-18	MEG	99.05	66	2.07E-48	103.0	AT5G06530.1	ABC-2 type transporter family protein	NA	NA	NA	NA	NA	6913
AT1G73680	5.03	1.15E-16	9.66E-15	MEG	96.19	135	2.29	1.17E-14	1.01E-12	MEG	84.01	90	5.38	8.20E-16	1.18E-13	MEG	96.66	99	7.81E-43	108.0	AT1G73680.1	alpha dioxygenase	2.29	1.56E-37	4.77E-36	MEG	84.03	452
AT5G20250	3.50	2.22E-15	1.67E-13	MEG	92.46	151	4.02	2.71E-16	2.54E-14	MEG	94.16	83	4.35	1.23E-15	1.71E-13	MEG	94.98	103	5.32E-43	112.3	AT5G20250.1	Raffinose synthase family protein	2.68	0.005973007	0.013795989	MEG	87.76	5986
AT1G69840	3.23	1.15E-20	1.21E-18	MEG	91.25	107	2.45	1.81E-23	2.88E-21	MEG	85.74	49	2.81	2.11E-09	1.63E-07	MEG	88.75	184	4.03E-49	113.3	AT1G69840.1	SPFH/Band 7/PHB domain-containing membrane-associated protein family	0.87	0.000208864	0.00066538	MEG	42.85	4340
AT5G15800	5.17	7.70E-16	5.98E-14	MEG	96.39	146	4.33	6.38E-16	5.92E-14	MEG	94.94	84	6.68	1.14E-14	1.43E-12	MEG	97.81	113	3.85E-42	114.3	AT5G15800.1	K-box region and MADS-box transcription factor family protein 	7.89	3.58E-73	2.62E-71	MEG	98.42	189
AT2G36760	6.71	1.68E-12	9.75E-11	MEG	97.83	196	5.66	1.92E-46	6.24E-44	MEG	96.98	24	6.75	4.37E-13	4.97E-11	MEG	97.85	125	2.38E-67	115.0	NA	NA	NA	NA	NA	NA	NA	6913
AT5G49180	5.22	1.35E-53	4.65E-51	MEG	96.45	33	1.66	1.38E-06	6.22E-05	MEG	73.42	173	4.61	3.04E-11	2.94E-09	MEG	95.50	147	9.38E-67	117.7	AT5G49180.1	Plant invertase/pectin methylesterase inhibitor superfamily	8.01	1.37E-144	3.88E-142	MEG	98.47	49
AT5G22460	7.11	1.49E-18	1.42E-16	MEG	98.06	119	5.84	2.74E-09	1.65E-07	MEG	97.15	129	7.65	4.37E-15	5.71E-13	MEG	98.32	109	1.04E-38	119.0	AT5G22460.1	alpha/beta-Hydrolases superfamily protein	10.03	3.31E-38	1.04E-36	MEG	99.02	439.5
AT2G32150	4.68	1.58E-10	7.81E-09	MEG	95.64	230	5.52	1.43E-87	2.23E-84	MEG	96.83	5	6.69	4.08E-13	4.68E-11	MEG	97.81	124	3.73E-106	119.7	NA	NA	7.52	8.99E-09	5.42E-08	MEG	98.26	2296
AT3G11310	-3.13	1.94E-29	3.06E-27	PEG	90.74	72	-1.86	8.17E-10	5.18E-08	PEG	77.62	123	-3.74	2.99E-10	2.56E-08	PEG	93.34	166	1	120.3	NA	NA	-6.22	2.60E-14	2.56E-13	PEG	97.48	1404
AT2G30010	5.17	4.63E-16	3.75E-14	MEG	96.40	140	5.80	3.89E-43	1.12E-40	MEG	97.11	27	5.49	1.21E-08	8.49E-07	MEG	96.79	203	3.24E-63	123.3	AT2G30010.1	TRICHOME BIREFRINGENCE-LIKE 45	2.00	3.07E-11	2.35E-10	MEG	79.99	1809
AT2G32370	-2.65	8.09E-39	1.67E-36	PEG	87.52	55	-2.98	7.14E-28	1.32E-25	PEG	89.90	42	-2.35	5.35E-06	0.000278707	PEG	84.69	273	1	123.3	NA	NA	NA	NA	NA	NA	NA	6913
AT1G35630	6.98	5.39E-16	4.27E-14	MEG	97.99	142.5	6.06	2.63E-12	1.92E-10	MEG	97.35	107	7.76	3.28E-13	3.83E-11	MEG	98.37	122	2.55E-37	123.8	AT1G35630.1	Protease-associated (PA) RING/U-box zinc finger family protein	NA	NA	NA	NA	NA	6913
AT2G38170	3.07	9.14E-17	7.74E-15	MEG	90.42	134	3.54	5.27E-17	5.40E-15	MEG	92.62	76	2.96	2.42E-10	2.10E-08	MEG	89.72	164	7.24E-40	124.7	NA	NA	1.92	1.19E-11	9.37E-11	MEG	78.70	1752
AT5G47150	4.23	5.02E-18	4.63E-16	MEG	94.71	123	4.15	1.92E-50	7.47E-48	MEG	94.50	20	4.61	9.54E-08	5.85E-06	MEG	95.51	232	1.73E-71	125.0	AT5G47150.1	YDG/SRA domain-containing protein	NA	NA	NA	NA	NA	6913
AT1G60410	-4.04	2.50E-23	3.08E-21	PEG	94.22	92	-3.12	2.32E-11	1.61E-09	PEG	90.69	112	-4.88	1.51E-09	1.20E-07	PEG	95.97	180	1	128.0	AT1G60410.1	F-box family protein	-3.80	4.58E-05	0.000165821	PEG	93.52	3820
AT5G03380	3.16	1.22E-11	6.62E-10	MEG	90.90	209	2.86	6.73E-31	1.42E-28	MEG	89.12	37	3.36	1.36E-11	1.37E-09	MEG	91.88	142	1.05E-49	129.3	AT5G03380.1	Heavy metal transport/detoxification superfamily protein 	8.22	6.28E-13	5.52E-12	MEG	98.54	1574.5
AT5G03280	1.89	2.04E-21	2.20E-19	MEG	78.11	105	2.08	2.56E-19	2.98E-17	MEG	81.20	67	1.66	4.31E-08	2.80E-06	MEG	73.35	219	1.72E-44	130.3	AT5G03280.1	NRAMP metal ion transporter family protein	5.40	0.006232359	0.014332767	MEG	96.69	6012
AT5G60360	3.65	7.50E-16	5.87E-14	MEG	93.01	145	3.19	2.42E-21	3.43E-19	MEG	91.04	55	3.12	3.98E-09	2.95E-07	MEG	90.70	193	4.95E-42	131.0	AT5G60360.1	aleurain-like protease	5.68	1.99E-22	3.25E-21	MEG	97.00	845
AT5G35490	7.00	2.00E-14	1.37E-12	MEG	98.00	166	5.21	9.17E-07	4.28E-05	MEG	96.45	167	7.64	1.30E-20	2.76E-18	MEG	98.32	67	1.33E-37	133.3	AT5G35490.1	mto 1 responding up 1	3.63	0.151673551	0.220996788	MEG	92.96	9489
AT5G67360	1.77	4.21E-27	5.97E-25	MEG	75.85	80	1.47	1.18E-12	9.00E-11	MEG	68.34	102	1.70	8.90E-08	5.48E-06	MEG	74.33	231	3.19E-43	137.7	AT5G67360.1	Subtilase family protein	4.76	1.59E-151	5.00E-149	MEG	95.77	44
AT5G07990	5.08	2.00E-44	4.89E-42	MEG	96.27	46.5	2.53	0.0004577	0.012172011	MEG	86.45	293	5.18	1.02E-18	1.81E-16	MEG	96.40	80	1.36E-62	139.8	AT5G07990.1	Cytochrome P450 superfamily protein	7.04	3.53E-211	2.71E-208	MEG	98.02	18
AT5G52060	2.57	1.06E-18	1.02E-16	MEG	86.84	118	1.98	2.19E-16	2.10E-14	MEG	79.62	81	2.42	1.51E-07	9.11E-06	MEG	85.45	236	2.03E-38	145.0	AT5G52060.1	BCL-2-associated athanogene 1	NA	NA	NA	NA	NA	6913
AT5G17320	4.41	4.16E-22	4.77E-20	MEG	95.12	99	5.31	2.16E-19	2.55E-17	MEG	96.57	66	3.63	6.35E-06	0.000323998	MEG	92.94	279	4.11E-43	148.0	AT5G17320.1	homeodomain GLABROUS 9	-2.68	5.45E-05	0.000194503	PEG	87.76	3876
AT5G55250	4.90	4.38E-31	7.42E-29	MEG	96.01	67	1.59	4.65E-07	2.25E-05	MEG	71.69	161	5.35	6.21E-08	3.96E-06	MEG	96.62	223	8.58E-42	150.3	AT5G55250.1	IAA carboxylmethyltransferase 1	8.22	7.84E-11	5.74E-10	MEG	98.54	1888
AT1G02720	2.56	3.02E-26	4.08E-24	MEG	86.80	84	2.63	1.89E-18	2.14E-16	MEG	87.40	69	2.09	2.61E-05	0.00118949	MEG	81.31	312.5	1.20E-45	155.2	AT1G02720.1	galacturonosyltransferase 5	2.50	1.47E-08	8.64E-08	MEG	86.21	2359
AT2G47750	3.48	7.15E-10	3.27E-08	MEG	92.39	248	7.98	4.24E-38	1.10E-35	MEG	98.45	30	5.42	4.93E-09	3.60E-07	MEG	96.71	195	1.56E-52	157.7	NA	NA	2.33	0.023174335	0.045274602	MEG	84.42	7077
AT2G05350	7.05	2.32E-14	1.56E-12	MEG	98.03	168	5.46	5.34E-09	3.16E-07	MEG	96.76	132	8.02	1.69E-09	1.33E-07	MEG	98.47	181	7.11E-29	160.3	AT2G05350.1		NA	NA	NA	NA	NA	6913
